;Unnamed: 0;Unnamed: 0.1;Unnamed: 0.1.1;Unnamed: 0.1.1.1;Unnamed: 0.1.1.1.1;Unnamed: 0.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1;precio;Tipo de inmueble;Comuna;Dormitorios;Baños;Servicios;Capacidad;Descripcion;Estacionamiento;Código;Arriendo anterior;Unnamed: 27;Equipamiento Espacios;Unnamed: 38;Unnamed: 40;Unnamed: 42;Unnamed: 46
0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;40.000;Departamento;La Serena;2 dormitorios;1 baño;;4  personas;"Cerca del centro de La Serena, de la playa, del
Faro y de la avenida del mar, arriendo diario
desde enero a diciembre de 2021, impecable
departamento para 4 personas, ubicado en calle
Juan Lorenzo Solís Castro N° 520, Condominio
Parque Libertad, La Serena.";1.0;;;;;;;;
1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;;80.000;Casa;Vicuña;2 dormitorios;1 baño;;;Cabañas para 5 personas MÁXIMO c/u;1.0;76377101.0;;;;;;;
2;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;;;30.000;Departamento;La Serena;3 dormitorios;1 baño;;4  personas;"Arriendo de verano de Departamento en Avenida
Pacifico, La Serena.";1.0;;;;;;;;
3;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;;;;60.000;Departamento;La Serena;3 dormitorios;2 baños;;6  personas;"IMPERDIBLE!!! Arriendo hermoso departamento
verdaderamente a un paso de la playa en La Serena,
para 6 personas, tres dormitorios, uno
matrimonial, el segundo 2 camas de 1 plaza y
tercer con una cama 11/2 plaza, mas un Futton en
el living, cocina completamebte equipada, 2 baños,
una Tremenda Terraza, 2 Tv con Cable, Comedor,
estacionamiento, espacios comunes como Piscina,
jardines, juegos para niños y lavanderia, a pasos
de ferias artesanales, restaurant y Casino Enjoy.";1.0;;;;;;;;
4;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;;;;;70.000;Casa;Coquimbo;3 dormitorios;3 baños;;;*Arriendo evento*;1.0;77079662;;;;;;;
5;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;;;;;;Sin informacion;;La Serena;2 dormitorios;2 baños;Piscina;4  personas;Arriendo diario;1.0;;;;;;;;
6;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;;;;;;;75.000;Departamento;La Serena;2 dormitorios;1 baño;;5  personas;"Inigualable departamento en arriendo ubicado en
exclusivo Resort Urbano de La Serena, a pasos de
la playa, en el sector norte de El Faro y a sólo
minutos del centro de la ciudad, supermercados,
Mall Plaza, universidades y centros comerciales.";1.0;;;;;;;;
7;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;;;;;;;;65.000;Departamento;Coquimbo;2 dormitorios;2 baños;;5  personas;"Arriendo cómodo departamento con vista al mar,
ubicado detrás del casino Enjoy de Coquimbo, playa
Peñuelas, edificio ""Gran Marina Horizonte II"",
cercano a pubs, restaurantes, zona muy turística y
atractiva.";1.0;;;;;;;;
8;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;;;;;;;;;40.000;Departamento;La Serena;3 dormitorios;1 baño;;;"Arriendo lindo y acogedor departamento, por
temporada de verano 2021, esta unicado en un 7°
piso, a pasos de la playa en la avda. del mar,
cercano a escuelas de surf, restaurant, pubs, faro
monumental, a 2 km del mall puerta del mar, 3 kms
del mall plaza La Serena y 5 kms del casino enjoy.";1.0;;"
								";;;;;;
9;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;;;;;;;;;;55.000;Departamento;Coquimbo;2 dormitorios;2 baños;;;"Arriendo hermoso departamento en Coquimbo,
condominio playa herradura.";1.0;;"
								";;;;;;
